shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
L991V1,50.07880,14.47362,144,3.86322
L991V1,50.07884,14.47341,145,3.87845
L991V1,50.07888,14.47322,146,3.89277
L991V1,50.07891,14.47302,147,3.90800
L991V1,50.07895,14.47281,148,3.92323
L991V1,50.07898,14.47261,149,3.93810
L991V1,50.07900,14.47241,150,3.95266
L991V1,50.07902,14.47220,151,3.96752
L991V1,50.07904,14.47200,152,3.98208
L991V1,50.07906,14.47180,153,3.99664
L991V1,50.07908,14.47160,154,4.01120
L991V1,50.07909,14.47139,155,4.02650
L991V1,50.07910,14.47117,156,4.04180
L991V1,50.07910,14.47096,157,4.05710
L991V1,50.07910,14.47075,158,4.07223
L991V1,50.07910,14.47052,159,4.08835
L991V1,50.07910,14.47031,160,4.10349
L991V1,50.07910,14.47009,161,4.11961
L991V1,50.07909,14.46986,162,4.13564
L991V1,50.07908,14.46963,163,4.15267
L991V1,50.07906,14.46939,164,4.16967
L991V1,50.07905,14.46917,165,4.18570
L991V1,50.07902,14.46892,166,4.20370
L991V1,50.07899,14.46868,167,4.22073
L991V1,50.07897,14.46844,168,4.23873
L991V1,50.07894,14.46819,169,4.25676
L991V1,50.07891,14.46794,170,4.27479
L991V1,50.07818,14.46192,171,4.71335
L991V1,50.07818,14.46189,172,4.71534
L991V1,50.07816,14.46170,173,4.72934
L991V1,50.07813,14.46151,174,4.74337
L991V1,50.07812,14.46131,175,4.75737
L991V1,50.07809,14.46112,176,4.77141
L991V1,50.07808,14.46094,177,4.78441
L991V1,50.07807,14.46074,178,4.79844
L991V1,50.07805,14.46055,179,4.81244
L991V1,50.07804,14.46037,180,4.82548
L991V1,50.07804,14.46019,181,4.83852
L991V1,50.07803,14.46001,182,4.85156
L991V1,50.07802,14.45984,183,4.86360
L991V1,50.07803,14.45967,184,4.87577
L991V1,50.07802,14.45951,185,4.88681
L991V1,50.07803,14.45936,186,4.89799
L991V1,50.07803,14.45922,187,4.90819
L991V1,50.07804,14.45907,188,4.91839
L991V1,50.07811,14.45793,189,5.00061
L991V1,50.07826,14.45561,190,5.16724
L991V1,50.07828,14.45530,191,5.18980
L991V1,50.07829,14.45503,192,5.20922
L991V1,50.07831,14.45480,193,5.22571
L991V1,50.07831,14.45457,194,5.24199
L991V1,50.07831,14.45435,195,5.25811
L991V1,50.07831,14.45415,196,5.27226
L991V1,50.07830,14.45394,197,5.28729
L991V1,50.07829,14.45374,198,5.30133
L991V1,50.07829,14.45355,199,5.31536
L991V1,50.07827,14.45334,200,5.33036
L991V1,50.07825,14.45315,201,5.34436
L991V1,50.07822,14.45296,202,5.35840
L991V1,50.07820,14.45275,203,5.37343
L991V1,50.07816,14.45255,204,5.38856
L991V1,50.07812,14.45234,205,5.40370
L991V1,50.07808,14.45214,206,5.41899
L991V1,50.07757,14.45009,207,5.57617
L991V1,50.07757,14.45008,208,5.57688
L991V1,50.07753,14.44989,209,5.59147
L991V1,50.07747,14.44970,210,5.60603
L991V1,50.07742,14.44950,211,5.62155
L991V1,50.07737,14.44930,212,5.63708
L991V1,50.07730,14.44912,213,5.65194
L991V1,50.07724,14.44892,214,5.66775
L991V1,50.07717,14.44872,215,5.68391
L991V1,50.07710,14.44854,216,5.69914
L991V1,50.07703,14.44834,217,5.71530
L991V1,50.07695,14.44816,218,5.73095
L991V1,50.07687,14.44797,219,5.74750
L991V1,50.07678,14.44778,220,5.76450
L991V1,50.07669,14.44760,221,5.78063
L991V1,50.07659,14.44739,222,5.79898
L991V1,50.07632,14.44687,223,5.84700
L991V1,50.07616,14.44658,224,5.87393
L991V1,50.07605,14.44635,225,5.89452
L991V1,50.07595,14.44613,226,5.91376
L991V1,50.07587,14.44594,227,5.93031
L991V1,50.07579,14.44573,228,5.94777
L991V1,50.07572,14.44554,229,5.96393
L991V1,50.07565,14.44534,230,5.97974
L991V1,50.07560,14.44514,231,5.99527
L991V1,50.07557,14.44503,232,6.00351
L991V1,50.07555,14.44492,233,6.01176
L991V1,50.07553,14.44482,234,6.01982
L991V1,50.07550,14.44469,235,6.02904
L991V1,50.07546,14.44446,236,6.04616
L991V1,50.07543,14.44423,237,6.06319
L991V1,50.07540,14.44397,238,6.08221
L991V1,50.07537,14.44371,239,6.10121
L991V1,50.07535,14.44343,240,6.12121
L991V1,50.07534,14.44313,241,6.14231
L991V1,50.07531,14.43908,242,6.43255
L991V1,50.07531,14.43907,243,6.43303
L991V1,50.07532,14.43878,244,6.45393
L991V1,50.07533,14.43850,245,6.47432
L991V1,50.07534,14.43823,246,6.49374
L991V1,50.07537,14.43797,247,6.51242
L991V1,50.07538,14.43771,248,6.53086
L991V1,50.07541,14.43746,249,6.54889
L991V1,50.07544,14.43723,250,6.56565
L991V1,50.07547,14.43700,251,6.58274
L991V1,50.07552,14.43679,252,6.59839
L991V1,50.07555,14.43657,253,6.61455
L991V1,50.07560,14.43638,254,6.62931
L991V1,50.07565,14.43619,255,6.64458
L991V1,50.07571,14.43600,256,6.65900
L991V1,50.07577,14.43582,257,6.67342
L991V1,50.07583,14.43565,258,6.68763
L991V1,50.07590,14.43548,259,6.70185
L991V1,50.07597,14.43533,260,6.71530
L991V1,50.07605,14.43519,261,6.72875
L991V1,50.07613,14.43504,262,6.74297
L991V1,50.07621,14.43491,263,6.75577
L991V1,50.07631,14.43476,264,6.77077
L991V1,50.07641,14.43464,265,6.78466
L991V1,50.07650,14.43451,266,6.79909
L991V1,50.07662,14.43439,267,6.81474
L991V1,50.07673,14.43428,268,6.82906
L991V1,50.07685,14.43415,269,6.84561
L991V1,50.07698,14.43404,270,6.86176
L991V1,50.07712,14.43393,271,6.87979
L991V1,50.07727,14.43381,272,6.89782
L991V1,50.07743,14.43369,273,6.91775
L991V1,50.07760,14.43357,274,6.93863
L991V1,50.07779,14.43345,275,6.96143
L991V1,50.07795,14.43334,276,6.98108
L991V1,50.07802,14.43330,277,6.98932
L991V1,50.07810,14.43324,278,6.99881
L991V1,50.07817,14.43318,279,7.00735
L991V1,50.07823,14.43312,280,7.01590
L991V1,50.07837,14.43300,281,7.03336
L991V1,50.07851,14.43284,282,7.05260
L991V1,50.07867,14.43266,283,7.07496
L991V1,50.07886,14.43245,284,7.10090
L991V1,50.07913,14.43213,285,7.13898
L991V1,50.07982,14.43122,286,7.23968
L991V1,50.07982,14.43122,287,7.23968
L991V1,50.07996,14.43103,288,7.25993
L991V1,50.08009,14.43085,289,7.27935
L991V1,50.08022,14.43068,290,7.29821
L991V1,50.08034,14.43050,291,7.31682
L991V1,50.08045,14.43034,292,7.33402
L991V1,50.08056,14.43016,293,7.35105
L991V1,50.08066,14.43000,294,7.36745
L991V1,50.08075,14.42982,295,7.38373
L991V1,50.08084,14.42966,296,7.39860
L991V1,50.08092,14.42949,297,7.41415
L991V1,50.08101,14.42933,298,7.42902
L991V1,50.08109,14.42916,299,7.44388
L991V1,50.08115,14.42899,300,7.45810
L991V1,50.08122,14.42881,301,7.47310
L991V1,50.08128,14.42862,302,7.48810
L991V1,50.08135,14.42844,303,7.50310
L991V1,50.08140,14.42829,304,7.51530
L991V1,50.08153,14.42789,305,7.54693
L991V1,50.08160,14.42767,306,7.56495
L991V1,50.08164,14.42754,307,7.57495
L991V1,50.08169,14.42742,308,7.58495
L991V1,50.08173,14.42730,309,7.59495
L991V1,50.08177,14.42719,310,7.60417
L991V1,50.08183,14.42707,311,7.61480
L991V1,50.08188,14.42696,312,7.62470
L991V1,50.08193,14.42685,313,7.63460
L991V1,50.08199,14.42674,314,7.64450
L991V1,50.08205,14.42663,315,7.65513
L991V1,50.08211,14.42653,316,7.66513
L991V1,50.08218,14.42641,317,7.67576
L991V1,50.08224,14.42632,318,7.68576
L991V1,50.08391,14.42410,319,7.92958
L991V1,50.08391,14.42409,320,7.93047
L991V1,50.08407,14.42388,321,7.95344
L991V1,50.08422,14.42368,322,7.97591
L991V1,50.08437,14.42349,323,7.99700
L991V1,50.08452,14.42333,324,8.01713
L991V1,50.08465,14.42318,325,8.03549
L991V1,50.08478,14.42305,326,8.05295
L991V1,50.08490,14.42295,327,8.06782
L991V1,50.08496,14.42290,328,8.07543
L991V1,50.08501,14.42286,329,8.08176
L991V1,50.08533,14.42264,330,8.12036
L991V1,50.08595,14.42221,331,8.19632
L991V1,50.08611,14.42209,332,8.21529
L991V1,50.08625,14.42199,333,8.23301
L991V1,50.08638,14.42189,334,8.24882
L991V1,50.08650,14.42178,335,8.26406
L991V1,50.08661,14.42167,336,8.27929
L991V1,50.08673,14.42155,337,8.29494
L991V1,50.08683,14.42141,338,8.31020
L991V1,50.08694,14.42128,339,8.32547
L991V1,50.08704,14.42113,340,8.34047
L991V1,50.08713,14.42097,341,8.35609
L991V1,50.08723,14.42081,342,8.37171
L991V1,50.08731,14.42063,343,8.38727
L991V1,50.08739,14.42046,344,8.40282
L991V1,50.08748,14.42026,345,8.41985
L991V1,50.08755,14.42006,346,8.43625
L991V1,50.08762,14.41986,347,8.45265
L991V1,50.08769,14.41964,348,8.47068
L991V1,50.08776,14.41941,349,8.48871
L991V1,50.08836,14.41701,350,8.67261
L991V1,50.08858,14.41610,351,8.74202
L991V1,50.08863,14.41587,352,8.75991
L991V1,50.08867,14.41563,353,8.77738
L991V1,50.08871,14.41538,354,8.79576
L991V1,50.08875,14.41511,355,8.81601
L991V1,50.08879,14.41485,356,8.83498
L991V1,50.08882,14.41455,357,8.85617
L991V1,50.08892,14.41355,358,8.92925
L991V1,50.08894,14.41336,359,8.94286
L991V1,50.08896,14.41317,360,8.95646
